2026-05-25 20:42:38.257 | INFO     | app.core.logger:setup_logger:39 - Centralized logging configured for Backend Gateway.
2026-05-25 20:42:39.851 | INFO     | app.core.logger:setup_logger:39 - Centralized logging configured for Backend Gateway.
2026-05-25 20:42:39.852 | INFO     | app.main:on_startup:28 - Verifying PostgreSQL database connection connectivity...
2026-05-25 20:42:39.939 | CRITICAL | app.main:on_startup:35 - Database connection connectivity verification failed: password authentication failed for user "postgres"
2026-05-25 20:42:39.939 | CRITICAL | app.main:on_startup:38 - Application startup continuing, but database features will fail.
2026-05-25 20:45:25.536 | INFO     | app.core.logger:setup_logger:39 - Centralized logging configured for Backend Gateway.
2026-05-25 20:45:27.201 | INFO     | app.core.logger:setup_logger:39 - Centralized logging configured for Backend Gateway.
2026-05-25 20:45:27.207 | INFO     | app.main:on_startup:28 - Verifying PostgreSQL database connection connectivity...
2026-05-25 20:45:27.293 | CRITICAL | app.main:on_startup:35 - Database connection connectivity verification failed: password authentication failed for user "postgres"
2026-05-25 20:45:27.295 | CRITICAL | app.main:on_startup:38 - Application startup continuing, but database features will fail.
2026-05-25 20:48:05.254 | INFO     | app.core.logger:setup_logger:39 - Centralized logging configured for Backend Gateway.
2026-05-25 20:48:06.833 | INFO     | app.core.logger:setup_logger:39 - Centralized logging configured for Backend Gateway.
2026-05-25 20:48:06.839 | INFO     | app.main:on_startup:28 - Verifying PostgreSQL database connection connectivity...
2026-05-25 20:48:06.934 | INFO     | app.main:on_startup:33 - Successfully established connection connection with PostgreSQL database.
2026-05-25 21:09:11.627 | INFO     | app.core.logger:setup_logger:39 - Centralized logging configured for Backend Gateway.
2026-05-25 21:09:23.844 | INFO     | app.core.logger:setup_logger:39 - Centralized logging configured for Backend Gateway.
2026-05-25 21:09:24.168 | INFO     | app.core.idempotency:acquire_lock:27 - Attempting to acquire idempotency lock for key: test-concurrent-key-999
2026-05-25 21:09:24.170 | INFO     | app.core.idempotency:acquire_lock:27 - Attempting to acquire idempotency lock for key: test-concurrent-key-999
2026-05-25 21:09:24.173 | INFO     | app.core.idempotency:acquire_lock:27 - Attempting to acquire idempotency lock for key: test-concurrent-key-999
2026-05-25 21:09:24.175 | INFO     | app.core.idempotency:acquire_lock:27 - Attempting to acquire idempotency lock for key: test-concurrent-key-999
2026-05-25 21:09:24.177 | INFO     | app.core.idempotency:acquire_lock:27 - Attempting to acquire idempotency lock for key: test-concurrent-key-999
2026-05-25 21:09:24.180 | INFO     | app.core.idempotency:acquire_lock:27 - Attempting to acquire idempotency lock for key: test-concurrent-key-999
2026-05-25 21:09:24.181 | INFO     | app.core.idempotency:acquire_lock:27 - Attempting to acquire idempotency lock for key: test-concurrent-key-999
2026-05-25 21:09:24.183 | INFO     | app.core.idempotency:acquire_lock:27 - Attempting to acquire idempotency lock for key: test-concurrent-key-999
2026-05-25 21:09:24.185 | INFO     | app.core.idempotency:acquire_lock:27 - Attempting to acquire idempotency lock for key: test-concurrent-key-999
2026-05-25 21:09:24.187 | INFO     | app.core.idempotency:acquire_lock:27 - Attempting to acquire idempotency lock for key: test-concurrent-key-999
2026-05-25 21:09:24.197 | INFO     | app.core.idempotency:acquire_lock:40 - No existing record. Registering new key 'test-concurrent-key-999' in PENDING state.
2026-05-25 21:09:24.464 | WARNING  | app.core.idempotency:acquire_lock:54 - Conflict: Transaction for key 'test-concurrent-key-999' is already in progress.
2026-05-25 21:09:24.469 | WARNING  | app.core.idempotency:acquire_lock:54 - Conflict: Transaction for key 'test-concurrent-key-999' is already in progress.
2026-05-25 21:09:24.471 | WARNING  | app.core.idempotency:acquire_lock:54 - Conflict: Transaction for key 'test-concurrent-key-999' is already in progress.
2026-05-25 21:09:24.472 | WARNING  | app.core.idempotency:acquire_lock:54 - Conflict: Transaction for key 'test-concurrent-key-999' is already in progress.
2026-05-25 21:09:24.473 | WARNING  | app.core.idempotency:acquire_lock:54 - Conflict: Transaction for key 'test-concurrent-key-999' is already in progress.
2026-05-25 21:09:24.475 | WARNING  | app.core.idempotency:acquire_lock:54 - Conflict: Transaction for key 'test-concurrent-key-999' is already in progress.
2026-05-25 21:09:24.475 | WARNING  | app.core.idempotency:acquire_lock:54 - Conflict: Transaction for key 'test-concurrent-key-999' is already in progress.
2026-05-25 21:09:24.476 | WARNING  | app.core.idempotency:acquire_lock:54 - Conflict: Transaction for key 'test-concurrent-key-999' is already in progress.
2026-05-25 21:09:24.478 | WARNING  | app.core.idempotency:acquire_lock:54 - Conflict: Transaction for key 'test-concurrent-key-999' is already in progress.
2026-05-25 21:09:25.149 | INFO     | app.database.repositories.transaction_repository:create_log:37 - Created transaction log for trace 'persistence-test-trace-888' in INITIALIZED state.
2026-05-25 21:09:25.152 | INFO     | app.core.state_machine:validate_state_transition:30 - Transaction state transition validated: INITIALIZED -> PENDING_SUBMISSION
2026-05-25 21:09:25.155 | INFO     | app.database.repositories.transaction_repository:update_state:82 - Trace 'persistence-test-trace-888' transitioned to 'PENDING_SUBMISSION' state successfully.
2026-05-25 21:09:25.157 | INFO     | app.core.state_machine:validate_state_transition:30 - Transaction state transition validated: PENDING_SUBMISSION -> NETWORK_IN_FLIGHT
2026-05-25 21:09:25.158 | INFO     | app.database.repositories.transaction_repository:update_state:82 - Trace 'persistence-test-trace-888' transitioned to 'NETWORK_IN_FLIGHT' state successfully.
2026-05-25 21:09:25.159 | INFO     | app.core.state_machine:validate_state_transition:30 - Transaction state transition validated: NETWORK_IN_FLIGHT -> SETTLED
2026-05-25 21:09:25.160 | INFO     | app.database.repositories.transaction_repository:update_state:82 - Trace 'persistence-test-trace-888' transitioned to 'SETTLED' state successfully.
2026-05-25 21:09:25.180 | INFO     | app.core.state_machine:validate_state_transition:30 - Transaction state transition validated: INITIALIZED -> PENDING_SUBMISSION
2026-05-25 21:09:25.180 | INFO     | app.core.state_machine:validate_state_transition:30 - Transaction state transition validated: PENDING_SUBMISSION -> NETWORK_IN_FLIGHT
2026-05-25 21:09:25.180 | INFO     | app.core.state_machine:validate_state_transition:30 - Transaction state transition validated: NETWORK_IN_FLIGHT -> SETTLED
2026-05-25 21:09:25.181 | INFO     | app.core.state_machine:validate_state_transition:30 - Transaction state transition validated: NETWORK_IN_FLIGHT -> AMBIGUOUS_TIMEOUT
2026-05-25 21:09:25.181 | INFO     | app.core.state_machine:validate_state_transition:30 - Transaction state transition validated: AMBIGUOUS_TIMEOUT -> FAILED
2026-05-25 21:09:25.183 | ERROR    | app.core.state_machine:validate_state_transition:25 - Illegal state transition transition attempted: INITIALIZED -> SETTLED
2026-05-25 21:09:25.184 | ERROR    | app.core.state_machine:validate_state_transition:25 - Illegal state transition transition attempted: SETTLED -> INITIALIZED
2026-05-25 21:09:25.184 | ERROR    | app.core.state_machine:validate_state_transition:25 - Illegal state transition transition attempted: FAILED -> NETWORK_IN_FLIGHT
2026-05-25 21:09:25.184 | ERROR    | app.core.state_machine:validate_state_transition:25 - Illegal state transition transition attempted: PENDING_SUBMISSION -> AMBIGUOUS_TIMEOUT
2026-05-25 21:09:48.748 | INFO     | app.core.logger:setup_logger:39 - Centralized logging configured for Backend Gateway.
2026-05-25 21:09:48.974 | INFO     | app.core.idempotency:acquire_lock:27 - Attempting to acquire idempotency lock for key: test-concurrent-key-999
2026-05-25 21:09:48.974 | INFO     | app.core.idempotency:acquire_lock:27 - Attempting to acquire idempotency lock for key: test-concurrent-key-999
2026-05-25 21:09:48.978 | INFO     | app.core.idempotency:acquire_lock:27 - Attempting to acquire idempotency lock for key: test-concurrent-key-999
2026-05-25 21:09:48.981 | INFO     | app.core.idempotency:acquire_lock:27 - Attempting to acquire idempotency lock for key: test-concurrent-key-999
2026-05-25 21:09:48.983 | INFO     | app.core.idempotency:acquire_lock:27 - Attempting to acquire idempotency lock for key: test-concurrent-key-999
2026-05-25 21:09:48.986 | INFO     | app.core.idempotency:acquire_lock:27 - Attempting to acquire idempotency lock for key: test-concurrent-key-999
2026-05-25 21:09:48.988 | INFO     | app.core.idempotency:acquire_lock:27 - Attempting to acquire idempotency lock for key: test-concurrent-key-999
2026-05-25 21:09:48.990 | INFO     | app.core.idempotency:acquire_lock:27 - Attempting to acquire idempotency lock for key: test-concurrent-key-999
2026-05-25 21:09:48.993 | INFO     | app.core.idempotency:acquire_lock:27 - Attempting to acquire idempotency lock for key: test-concurrent-key-999
2026-05-25 21:09:48.994 | INFO     | app.core.idempotency:acquire_lock:27 - Attempting to acquire idempotency lock for key: test-concurrent-key-999
2026-05-25 21:09:49.005 | INFO     | app.core.idempotency:acquire_lock:40 - No existing record. Registering new key 'test-concurrent-key-999' in PENDING state.
2026-05-25 21:09:49.275 | WARNING  | app.core.idempotency:acquire_lock:54 - Conflict: Transaction for key 'test-concurrent-key-999' is already in progress.
2026-05-25 21:09:49.279 | WARNING  | app.core.idempotency:acquire_lock:54 - Conflict: Transaction for key 'test-concurrent-key-999' is already in progress.
2026-05-25 21:09:49.281 | WARNING  | app.core.idempotency:acquire_lock:54 - Conflict: Transaction for key 'test-concurrent-key-999' is already in progress.
